Source,URL,Neighborhood,District,Zone,Price_USD,Area_SQM,Price_Per_SQM,Scraped_Date
Dubizzle,https://www.olx.com.lb/ad/duplex-for-sale-in-sheileh-keserwan-%D8%AF%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%87%D9%8A%D9%84%D8%A9-%D9%83%D8%B3%D8%B1%D9%88%D8%A7%D9%86-ID115921858.html,Unknown,Unknown,Unknown,330000.0,370.0,891.9,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-200m2-luxury-brand-new-mountain-view-ID114845134.html,Unknown,Unknown,Unknown,200000.0,200.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/170-sqm-200-sqm-terrace-apartment-for-sale-in-ain-el-rihani-600sqm-ID116853717.html,Unknown,Unknown,Unknown,135000.0,170.0,794.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/zahle-fully-furnished-decorated-terrace-open-view-ref-6771-ID116633804.html,Ain el Ghossein,Zahle,Zahle,130000.0,143.0,909.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/brand-new-140-sqm-100-sqm-terrace-apartment-for-sale-in-dbayeh-prime-ID117014197.html,Dbaye,El Meten,El Meten,275000.0,140.0,1964.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/130-sqm-dully-renovated-apartment-in-zouk-mosbeh-calm-area-ID116982711.html,Unknown,Unknown,Unknown,130000.0,130.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-140m2-terrace-furnished-view-prime-location-kh-ID116973220.html,Unknown,Unknown,Unknown,155000.0,140.0,1107.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-80m2-500m2-garden-private-street-unique-property-tyt-ID116970025.html,Unknown,Unknown,Unknown,200000.0,80.0,2500.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/136-sqm-apartment-for-sale-in-antelias-esken-eligible-ID116968766.html,Antelias,El Meten,El Meten,140000.0,136.0,1029.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/250-sqm-apartment-for-sale-in-ajaltoun-high-end-ID116968252.html,Unknown,Unknown,Unknown,260000.0,250.0,1040.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-175m2-%7C-full-y-furnished-%7C-panoramic-view-%7C-prime-locaiton%7Cwa-ID116922511.html,Unknown,Unknown,Unknown,200000.0,175.0,1142.9,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ain-el-rihaneh-125m2-renovated-prime-location-quiet-area-el-ID116896517.html,Unknown,Unknown,Unknown,85000.0,125.0,680.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-165m2-mountain-view-catch-quiet-street-to-ID116814417.html,Unknown,Unknown,Unknown,210000.0,165.0,1272.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-175m2-classy-area-excellent-condition-flat-to-ID116664632.html,Unknown,Unknown,Unknown,158000.0,175.0,902.9,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/jeitaain-el-rihaneh-140m2-high-end-open-view-el-ID116637619.html,Unknown,Unknown,Unknown,125000.0,140.0,892.9,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-115m2-furnished-flat-decorated-open-mountain-view-ro-ID116495202.html,Unknown,Unknown,Unknown,155000.0,115.0,1347.8,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/165-sqm-apartment-in-new-sheileh-keserwan-high-end-ID116114047.html,Unknown,Unknown,Unknown,210000.0,165.0,1272.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/sheileh-220m2-60m2-terrace-luxurious-private-street-my-ID115663423.html,Unknown,Unknown,Unknown,250000.0,220.0,1136.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-330m2-fully-furnished-high-end-sea-view-ID106397914.html,Unknown,Unknown,Unknown,300000.0,330.0,909.1,2026-08-23 06:20
